Date,RELIANCE.NS,RELI_Return,Excess_Market,Risk_Free_Rate,Excess_RELI,Combined,CPI_Shock,General Index,Monthly change IIP,InterestRate,Interest_Shock,USDINR,Monthly change in USD/INR exchange rate
2015-10-01,209.8402099609375,0.099037317560533,0.0181403528731425,0.0056284123796244,0.0934089051809086,126.1,0.0055821371610844,115.5,0.0257548845470694,7.6,-0.1300000000000007,65.44400024414062,-0.0072208425064691
2015-11-01,214.13577270507807,0.0204706368952842,-0.0147858538669712,0.0058600825562884,0.0146105543389958,126.6,0.0039651070578905,110.3,-0.045021645021645,7.75,0.1500000000000003,66.9000015258789,0.0222480483513634
2015-12-01,224.6532440185547,0.0491159005364412,0.0117866175183328,0.0059134778212908,0.0432024227151504,126.1,-0.0039494470774091,118.9,0.0779691749773345,7.79,0.04,66.45500183105469,-0.0066517142701719
2016-01-01,229.25880432128903,0.0205007513817783,-0.0604871642106595,0.0055750708071153,0.014925680574663,126.3,0.0015860428231562,118.9,0.0,7.67,-0.1200000000000001,68.09300231933594,0.0246482648882542
2016-02-01,214.03614807128903,-0.0663994401221188,-0.0876986899076557,0.006034074588699,-0.0724335147108178,126.0,-0.002375296912114,117.8,-0.0092514718250631,7.72,0.0499999999999998,68.7300033569336,0.0093548678410493
2016-03-01,231.4286956787109,0.081259860841959,0.0995502672451739,0.0059742866195895,0.0752855742223695,126.0,0.0,127.6,0.0831918505942275,7.58,-0.1399999999999996,66.36799621582031,-0.0343664633456619
2016-04-01,220.03982543945312,-0.0492111412798557,0.0184669329617289,0.0053229901774145,-0.0545341314572702,127.3,0.0103174603174602,113.7,-0.1089341692789968,7.44,-0.1399999999999996,66.41799926757812,0.0007534211458668
2016-05-01,214.47555541992188,-0.0252875587790463,0.0067521714523832,0.0058192519538187,-0.031106810732865,128.6,0.0102120974076982,121.3,0.0668425681618294,7.28,-0.1600000000000001,67.13300323486328,0.0107652138753024
2016-06-01,217.0057830810547,0.0117972775786914,0.0318193072522708,0.0054189324265694,0.006378345152122,130.1,0.0116640746500777,119.7,-0.0131904369332234,7.5,0.2199999999999997,67.41600036621094,0.0042154695561227
2016-07-01,227.2498474121093,0.0472064116707358,0.0417750294878163,0.0050932137446002,0.0421131979261356,131.1,0.0076863950807071,116.8,-0.0242272347535505,7.35,-0.1500000000000003,66.64800262451172,-0.0113919208723058
2016-08-01,237.34832763671875,0.0444377866018812,0.0060494375891067,0.0057600096104848,0.0386777769913964,131.1,0.0,116.5,-0.0025684931506848,7.14,-0.2099999999999999,67.12660217285156,0.0071810036234127
2016-09-01,242.6551055908203,0.0223586068919938,-0.0097048732004364,0.0052178521182997,0.0171407547736941,130.9,-0.001525553012967,118.2,0.0145922746781115,6.86,-0.2799999999999993,66.81629943847656,-0.0046226492080735
2016-10-01,236.21755981445312,-0.0265296118978949,0.0254112866843188,0.0051033025300208,-0.0316329144279157,131.4,0.0038197097020626,120.3,0.0177664974619289,6.78,-0.08,66.78140258789062,-0.0005222805045955
2016-11-01,221.6855926513672,-0.0615194195321494,-0.0568906641910881,0.0050788777457524,-0.0665982972779018,131.2,-0.0015220700152208,115.9,-0.0365752285951787,6.61,-0.1699999999999999,68.60800170898438,0.0273519131121837
2016-12-01,242.36398315429688,0.0932780080816955,-0.0134392455855441,0.0048675786090846,0.0884104294726109,130.4,-0.0060975609756096,121.7,0.0500431406384813,6.53,-0.08,67.9448013305664,-0.0096665164688963
2017-01-01,234.034408569336,-0.0343680380085931,0.0488428966515413,0.0053246581058026,-0.0396926961143957,130.3,-0.0007668711656441,123.1,0.0115036976170912,6.79,0.2599999999999998,67.82099914550781,-0.0018220994488786
